title,author,genre,description,category,rating,maturity rating,page count
The Winemaker's Wife,['Kristen Harmel'],romance,"If you love The Beekeeper's Promiseand The Tattooist of Auschwitzthen you'll adore this beautiful story of love, loss, hope and survival. East of Paris in the sun-drenched vineyards of northern France lies the famous champagne house Maison Chauveau. But behind the extravagant exterior of the grand house is a world of secrets. 1940: When young Ines married into the famed Chauveau family she dreamed of working alongside her husband and raising their beautiful children. But with German occupation comes a life of fear: for herself, for the husband who has joined the Resistance and for Celine, the Jewish wife of their chief vintner. As the Nazis march ever closer Ines will be faced with a terrible choice. 2019: Liv Kent has lost everything: her job, her husband and the family she thought they were building. Alone and adrift she leaps at the chance to join her eccentric grandmother on a trip to Champagne. But it's not long before past and present collide, and in a desperate search for the truth, Liv is led straight to the Maison Chauveau. What readers are saying about The Winemaker's Wife: 'A beautifully woven tale of love, betrayal and redemption' Goodreads reviewer, 5 stars 'This is a story of lovethrough generations, of the French Resistanceand families of blood and choice. Fabulous read!' Amazon reviewer, 5 stars 'A memorable book that weaves a heartbreaking, yet hopeful, tale. This book is fascinating and a must read!' Goodreads reviewer, 5 stars 'It is a story of love and betrayal. It's also a story of forgiveness... kept me intensely interesteduntil the very end' Amazon reviewer, 5 stars 'A deeply thoughtful historical fictionnovel, based on details of real-life Resistance activities that occurred in France during World War II' Gwendalynbooks.blog 'I would highly recommendThe Winemaker's Wifeto those who like historical fiction and women's fiction. A 5 star for me!' Stories Unfolded Blog 'This was a wonderfully twisty book... I definitely want to read more from this author' The Good, the Bad and the Unread",['Fiction'],4,NOT_MATURE,336
The Eye of the World,['Robert Jordan'],fantasy,"Relates a tale of the bestial Trollocs, the witch Moiraine, and three boys, one of whom is fated to become the Dragon--the World's only hope and the sure means of its destruction",['Fiction'],4,NOT_MATURE,753
The Fantastic Flying Books of Mr. Morris Lessmore,['William Joyce'],fantasy,"Morris Lessmore loves words, stories and books, and after a tornado carries him to another land, dreary and colorless, he finds a single book in color that leads him to an amazing library where, he learns, the books need him as much as he needs them.",['Juvenile Fiction'],4.5,NOT_MATURE,56
Keeper of the Lost Cities,['Shannon Messenger'],fantasy,"At age 12, Sophie learns that the remarkable abilities that have always made her different from others actually identify her as an elf, and after being brought to Eternalia to hone her skills, she discovers that she has secrets buried in her memory for which some would kill.",['Juvenile Fiction'],4,NOT_MATURE,496
Through the Looking Glass,['Lewis Carroll'],fantasy,"In this sequel to Alice in Wonderland, Alice climbs through a mirror in her room and enters a world similar to a chess board where she experiences many curious adventures with its fantastic inhabitants.",['Adventure and adventurers'],3.5,NOT_MATURE,232
Graceling,['Kristin Cashore'],fantasy,"In a world where some people are born with extreme and often-feared skills called Graces, Katsa struggles for redemption from her Grace of killing, and teams up with another young fighter to save their land from a corrupt king.",['Juvenile Fiction'],4,NOT_MATURE,482
Exile,['Shannon Messenger'],fantasy,"Tasked with training the magical Alicorn so that it can be revealed to the people of the lost cities as a sign of hope, Sophie is dismayed by a renewal of the dangers she believed were past, forcing her to risk her life for answers. By the author of Let the Sky Fall.",['Juvenile Fiction'],4.5,NOT_MATURE,576
Caraval,['Stephanie Garber'],fantasy,"Publisher Annotation: Welcome, welcome to Caraval?Stephanie Garber?s sweeping tale of two sisters who escape their ruthless father when they enter the dangerous intrigue of a legendary game. 416pp.",['Young Adult Fiction'],3.5,NOT_MATURE,416
The Wizard of Oz,['L. Frank Baum'],fantasy,"After a cyclone transports her to the land of Oz, Dorothy must seek out the great wizard in order to return to Kansas.",['Courage'],3,NOT_MATURE,188
Bloodmarked,['Tracy Deonn'],fantasy,"""When the leaders of the Order reveal that they will do everything in their power to keep the approaching demon war a secret, Bree and her friends go on the run so she can learn how to control her devastating new powers.""--",['JUVENILE FICTION'],4.5,NOT_MATURE,576
Peter and Wendy,['James Matthew Barrie'],fantasy,No description,No category,0,Not rated,No data
The Tombs of Atuan,['Ursula K. Le Guin'],fantasy,"A wizard enters the underground domain of Ahra, high priestess of the Powers of the Earth, in an attempt to steal her palace's greatest treasure.",['Juvenile Fiction'],4,NOT_MATURE,224
The Shadow Rising,['Robert Jordan'],fantasy,"Perrin Aybara must return to Emond's Field to face the occupying Whitecloaks, while Rand enters the Aiel Waste and the forbidden city of Rhuidean",['Fiction'],4,NOT_MATURE,1015
Peter Pan,['J. M. Barrie'],fantasy,"The adventures of Peter Pan, the boy who would not grow up.",['Juvenile Fiction'],3.5,NOT_MATURE,234
Lord of Chaos,['Robert Jordan'],fantasy,"Struggling to unite his nations for the battle that would release the Dark One into their world, Rand al'Thor is unaware of the White Tower leader's plans to silence his efforts",['Fiction'],4,NOT_MATURE,1031
A Crown of Swords,['Robert Jordan'],fantasy,"Elayne, Aviendha, and Mat work to restore the world's natural weather, while Egwene gathers a group of female channelers and Rand confronts the dread Forsaken Sammael, in the seventh volume in the Wheel of Time series. Reprint.",['Fiction'],4,NOT_MATURE,903
The Wind in the Willows,['Kenneth Grahame'],fantasy,"The tales of Ratty, Mole, Badger and Toad. When Mole goes boating with the Water Rat instead of spring-cleaning, he discovers a new world. As well as the river and the Wild Wood, there is Toad's craze for fast travel which leads him and his friends on a whirl of trains, barges, gipsy caravans and motor cars and even into battle.",['Juvenile Fiction'],3.5,NOT_MATURE,198
Eldest,['Christopher Paolini'],fantasy,"After successfully evading an Urgals ambush, Eragon is adopted into the Ingeitum clan and sent to finish his training so he can further help the Varden in their struggle against the Empire.",['Dragons'],4.5,NOT_MATURE,1036
Crossroads of Twilight,['Robert Jordan'],fantasy,Sequel to Winter's heart.,['Fiction'],3.5,NOT_MATURE,724
Charlotte's Web,['Elwyn Brooks White'],fantasy,"When he discovers that he is destined to be someone's dinner, Wilbur the pig is desolate until his spider friend Charlotte decides to help him.",['Animals'],4,NOT_MATURE,196
